year,month,collisions
2005,1,473.0
2005,2,461.0
2005,3,498.0
2005,4,529.0
2005,5,561.0
2005,6,524.0
2005,7,572.0
2005,8,558.0
2005,9,568.0
2005,10,604.0
2005,11,603.0
2005,12,582.0
2006,1,522.0
2006,2,406.0
2006,3,467.0
2006,4,402.0
2006,5,487.0
2006,6,471.0
2006,7,512.0
2006,8,523.0
2006,9,518.0
2006,10,562.0
2006,11,538.0
2006,12,610.0
2007,1,459.0
2007,2,421.0
2007,3,470.0
2007,4,386.0
2007,5,442.0
2007,6,448.0
2007,7,501.0
2007,8,486.0
2007,9,456.0
2007,10,475.0
2007,11,469.0
2007,12,454.0
2008,1,569.0
2008,2,590.0
2008,3,553.0
2008,4,537.0
2008,5,590.0
2008,6,531.0
2008,7,525.0
2008,8,508.0
2008,9,561.0
2008,10,579.0
2008,11,605.0
2008,12,588.0
2009,1,565.0
2009,2,433.0
2009,3,493.0
2009,4,536.0
2009,5,583.0
2009,6,534.0
2009,7,628.0
2009,8,591.0
2009,9,534.0
2009,10,582.0
2009,11,582.0
2009,12,554.0
2010,1,419.0
2010,2,431.0
2010,3,486.0
2010,4,471.0
2010,5,527.0
2010,6,474.0
2010,7,522.0
2010,8,508.0
2010,9,531.0
2010,10,600.0
2010,11,508.0
2010,12,303.0
2011,1,427.0
2011,2,405.0
2011,3,421.0
2011,4,381.0
2011,5,368.0
2011,6,465.0
2011,7,461.0
2011,8,482.0
2011,9,456.0
2011,10,482.0
2011,11,473.0
2011,12,409.0
2012,1,457.0
2012,2,409.0
2012,3,489.0
2012,4,471.0
2012,5,454.0
2012,6,470.0
2012,7,475.0
2012,8,472.0
2012,9,479.0
2012,10,500.0
2012,11,476.0
2012,12,458.0
2013,1,445.0
2013,2,354.0
2013,3,363.0
2013,4,340.0
2013,5,391.0
2013,6,421.0
2013,7,464.0
2013,8,415.0
2013,9,435.0
2013,10,468.0
2013,11,435.0
2013,12,445.0
2014,1,445.0
2014,2,410.0
2014,3,421.0
2014,4,456.0
2014,5,470.0
2014,6,480.0
2014,7,486.0
2014,8,494.0
2014,9,507.0
2014,10,519.0
2014,11,587.0
2014,12,521.0
2015,1,487.0
2015,2,430.0
2015,3,471.0
2015,4,403.0
2015,5,500.0
2015,6,478.0
2015,7,488.0
2015,8,484.0
2015,9,518.0
2015,10,510.0
2015,11,515.0
2015,12,547.0
2016,1,530.0
2016,2,466.0
2016,3,431.0
2016,4,410.0
2016,5,480.0
2016,6,487.0
2016,7,540.0
2016,8,472.0
2016,9,544.0
2016,10,503.0
2016,11,502.0
2016,12,526.0
2017,1,463.0
2017,2,419.0
2017,3,529.0
2017,4,393.0
2017,5,530.0
2017,6,496.0
2017,7,496.0
2017,8,485.0
2017,9,556.0
2017,10,519.0
2017,11,610.0
2017,12,558.0
2018,1,472.0
2018,2,446.0
2018,3,441.0
2018,4,461.0
2018,5,537.0
2018,6,536.0
2018,7,548.0
2018,8,485.0
2018,9,518.0
2018,10,553.0
2018,11,560.0
2018,12,549.0
2019,1,503.0
2019,2,399.0
2019,3,492.0
2019,4,400.0
2019,5,476.0
2019,6,477.0
2019,7,512.0
2019,8,487.0
2019,9,551.0
2019,10,519.0
2019,11,546.0
2019,12,465.0
2020,1,500.0
2020,2,449.0
2020,3,279.0
2020,4,139.0
2020,5,233.0
2020,6,298.0
2020,7,403.0
2020,8,417.0
2020,9,430.0
2020,10,395.0
2020,11,394.0
2020,12,492.0
2021,1,226.0
2021,2,244.0
2021,3,302.0
2021,4,361.0
2021,5,414.0
2021,6,452.0
2021,7,489.0
2021,8,442.0
2021,9,518.0
2021,10,516.0
2021,11,450.0
2021,12,499.0
2022,1,400.0
2022,2,422.0
2022,3,484.0
2022,4,438.0
2022,5,503.0
2022,6,470.0
2022,7,472.0
2022,8,512.0
2022,9,506.0
2022,10,523.0
2022,11,553.0
2022,12,432.0
2023,1,435.0
2023,2,384.0
2023,3,454.0
2023,4,415.0
2023,5,518.0
2023,6,478.0
2023,7,472.0
2023,8,467.0
2023,9,479.0
2023,10,482.0
2023,11,479.0
2023,12,463.0
